favorites	TITLE1	15609,15597,15702,15489,15494,12759,12782,12554,12551,12563
Platia_status	Платья_из_Италии_и_Франции	12782,12554,12563,12573,8911,8800,3591,3610,12400,10689,12260,12257,12258,12289,9520,9521,9458,9453,9007,5443,7671,3625,3783,10326,10305,7751,5216,4291,10915,7739,10929,9422,9429,9402,7714
Elisa_Fanti_leto	ELISA_FANTI_ЛЕТНЯЯ_КОЛЛЕКЦИЯ_2016	11516,11547,11551,11558,11616,11624,11641,11641,11660,11665,11676,11683,11695,11696,11697,11701,11705,11715,11721,11740,11785,11803,11803,11804,11804,11811,11858,6796,6799,6800,6809,7111,7133,7175,7209,7228,7262,7290,6805,7161,7235,6797,6798,7132,7405,7203,6806,6803,7118,9821,9758,9756,9878,9800,9687,9760,9750,9911,10030,7969,11575
Sparkle_leto	SPARKLE_ЛЕТНЯЯ_КОЛЛЕКЦИЯ_2016	4829,4828,4846,4786,4830,4877,4842,4843,4875,4794,4752,4753,4867,4759,4751,4783,4761,4766,4763,4760,6955,6981,7049,6969,6958,6960,6957,4844,4832,10250,4805
devushkam	Девушкам	13128,13129,13130,3416,3356,3347,3354,3425,6548,6542,6469,6399,11147,11135,11183,3415,3346,3375,3414,3362,3342,9287,9266,9289,9302,9261,9264,9229,11220,11221,11067,12274,12341,12443,9588,9601,9595,9587,9603,9590,9602,9479,9458,9466,9456,9469,9007,8995,9583,9450,6317,6308,6331,6370,11081,11084,6960,11118,9370,9354,9372,9351,9350,9327,9384,9386,9369
platia_iz_italii	Платья_из_Италии	12759,12782,12554,12551,12563,12556,12573,12563,12573,7133,5640,5662,5512,7228,7161,6061,6070,8911,8800,8322,6729,6754,6766,9528,9520,9521,7967,9526,9530,9531,9523,9458,9453,9462
kurtki_i_palto_2017	Куртки_и_пальто_из_Италии_2017	13196,13193,10884,10882,3575,13197,13210,13205,12703,10332,5589,11252,11253,10332,9216,10328,11336,10526,10553,10528,10532,10885,10886,10545,10542,9222,10529,10525,5232,8312,10549,10550,13197,10548,3573,3575,9042,9220,9219,9221,10882,10884,9570,10567,13196,13193
greg_2016	Французские_блузки_платья_от_GREGE	12372,12379,12381,12378,12370,12367,12369,12376,12375
verhnaja_odejda_skidki	Скидки_на_верхнюю_одежду	9042,9220,9219,9222,11336,10529,11253,10885,10542,10546,10328,10886,10545,10544,10882,3575,3573
vos	Скидки_на_верхнюю_одежду	9042,9220,9219,9222,11336,10529,11253,10885,10542,10546,10328,10886,10545,10544,10882,3575,3573
ELISA_FANTI_PLATIA	Платья премиум класса ELISA Fanti	15607,15602,15702,15696,15887,15822,15636,12759,12782,13682,12551,12554,13806,12563,12573,13790,13778,13679,13709,13803,13737,13696,7133,7228,7161,7972,6070,8838,8911,8800,8322,7118
ELISA_FANTI_YUBKI	Юбки премиум класса ELISA Fanti	12583,11811,12585,12587,13675,10843,11658,12757,11641,11660,11804,11665,12744,11802,11803,13785,13605,12777,13677,13684,13712,12595,12563,13569,13588,13640,13647,14255,13508,7175,5684,6118,5696,5686,6117,6798,7132,7405,6806,6803,12586,12633,9499,10679,8948,8952,8965,8772,8782,8241,8268,8262,8263,8238,8269,8228,8194,9911,10030,9769,9743,6765,9454
LEO_GUY_SALE	РАСПРОДАЖА ФРАНЦУСКОГО ТРИКОТАЖА LEO UGO	14043,11340,14044,11442,14196,14232,11439,14236,14187,14197,14184,13024,14235,11395,11478,11475,11407,14018,11473,11483,14050,11488,11341,11444,10439,11412,11438,10537,10405,10409,10457,11469,9131,7564,10499,11435,9212,7687,10891,10496,10460,10502,10468,5124,13023,11367,7842,9182,7686,7535,4383,4190,7512,7531,7622,9079,5107,5110,5113,5123,5131,5146,5149,7574,7563,5176,7624,7623,13980
Legkie_letnie_platia_ETINCELLE	ЛЕГКИЕ ЛЕТНИЕ ПЛАТЬЯ, ТУНИКИ И БЛУЗКИ ETINCELLE	3378,3380,6842,3381,6843,3382,6844,6851,3383,6864,3384,7076,3487,3489,3546,3534,3453,3671,6894,6838,6834,6855,6859,6867,6937,6943,6946,6860,3358,4627,3465,3389,3400,3377,3388,3406,3393,3395,3386,3403,3339
BOLSHIE_PLATIA	БОЛЬШИЕ ПЛАТЬЯ LISS-MORE, GIANI FORTE, EDEN ROSE 	15240, 15238, 15239, 12452, 12259, 10689, 12262, 12401, 12260, 12258, 12397, 12396, 12394, 12365, 12289, 12261, 12268, 12287, 12288, 12409, 12420, 8055, 12404, 12411, 4427, 4405, 7769, 7772, 4408, 8013
PLATIA_DLYA_MAMA_NEVESTI	СТИЛЬНОЕ ПЛАТЬЕ ДЛЯ МАМЫ НЕВЕСТЫ	15607,15602,15702,15696,15636,7769,7771,7772,13696,7228,7161,13682,12563,13801,13571,13709,13778,13679,15240,15500,15490,15515,14783,15607,14680,15132,5640,7161,4407
ELEGANT_PLATIA_ELEGANT_RAZMER	ЭЛЕГАНТНЫЕ ПЛАТЬЯ ЭЛЕГАНТНЫХ РАЗМЕРОВ	16252,16249,16148,15702,15696,15636,15607,16934,16542,16494,16476,16417,16408,16368,16366,16277,16275,16269,16256,15602,15515,15500,15490,15240,15132,14935,14893,15887,14783,15822,14680,13801,13778,13709,13696,13682,13679,12573,13571,12759,12563,7772,7771,7769,7228,7161,7161,5640,4407
